FeatureID,importance_mean,importance_sd,frac_folds_positive,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,cage_F,cage_p,cage_FDR,Genus,Family,cage_confounded
eef61fa20a609e0b0edda48cdc9db43d,-0.0013051146384479692,0.015502274305187125,0.13333333333333333,-0.9040065021650687,0.3777868787413556,0.5431491477101991,-1.2052712403731527,-0.8845936784377908,Pos↓,2.0229753338464667,0.13346154261106463,0.21216963184323093,Tyzzerella,Lachnospiraceae,False
DQ808123.1.1242,-0.0015520282186948847,0.009464279295154908,0.06666666666666667,0.3932988749897509,0.6981492705291212,0.7462974960828537,-1.2826224625796085,-1.4269335183918819,Pos↑,3.694962826779729,0.023346447521195985,0.06892760696734053,Ruthenibacterium,Ruminococcaceae,False
1978fc46fbfd9b795e153be14136a976,-0.002045855379188714,0.015517015048136453,0.06666666666666667,-1.1803940331543963,0.2500511135684183,0.4079781326642614,-0.47378113503008856,-0.06782458422398914,Pos↓,4.252746794316611,0.013514546091659316,0.046550103204604315,CHKCI001,Lachnospiraceae,True
6a90057b6e7a186c4d4e8974cd089f3f,-0.002063492063492063,0.007720880321914479,0.0,-0.9019054562535087,0.37549733487977444,0.5431491477101991,0.21922633949579923,0.5925857654315906,Pos↓,0.46726795654336634,0.7074551970176732,0.7695126704402762,Enterocloster,Lachnospiraceae,False
6a4f354262a6fbad12de693585b4e7f1,-0.0020811287477954096,0.007421796723550179,0.06666666666666667,-3.494413931798541,0.0011182965158902187,0.005715946436474553,2.2178470144508244,3.2936334920261414,Pos↓,2.847442914226204,0.0554462032176167,0.12257641802534788,,Ruminococcaceae,False
FJ382054.1.1201,-0.002257495590828923,0.0058071578489613165,0.0,-0.6909213831764646,0.4948419929477538,0.5900039146684757,2.758514476461016,3.3125918876558718,Pos↓,1.7190423755055593,0.18580936527107278,0.26791117783270957,Romboutsia,Peptostreptococcaceae,False
DQ057398.1.1389,-0.0022927689594356274,0.011844317122855918,0.06666666666666667,-1.4034212610474555,0.17788816620651413,0.3243843030824669,-0.07099907805425906,0.6607186674908424,Pos↓,2.7830391061647686,0.0593111700122651,0.12257641802534788,Shuttleworthia,Lachnospiraceae,False
HQ807248.1.1298,-0.0023456790123456786,0.005989881220102815,0.0,-0.26963989440938974,0.7896386321437336,0.8158932917479624,-0.9061435142435743,-0.8337744200662531,Pos↓,1.5758301648525475,0.2173257362333649,0.299426569921525,DTU089,Ruminococcaceae,False
DQ794427.1.1242,-0.002557319223985888,0.008752132394781767,0.13333333333333333,-0.8388792338035435,0.41016232447361034,0.5431491477101991,0.2172181972519632,0.526287620476127,Pos↓,2.81020231166063,0.05764767033545626,0.12257641802534788,Oscillibacter,Oscillospiraceae,False
DQ793739.1.1403,-0.002698412698412698,0.007002141269877071,0.0,-0.30518510236014623,0.7622551514465696,0.8010138879608021,0.7202695071223725,0.8243224031280432,Pos↓,6.431617431472627,0.0018824259832012525,0.01593845809064747,Merdibacter,Erysipelotrichaceae,True
DQ793705.1.1389,-0.0028042328042328017,0.008128081752744192,0.06666666666666667,-2.293438507063104,0.0275943330818236,0.07438472395969839,1.150099135498315,1.7940569198045866,Pos↓,2.608777926318227,0.07125310883783736,0.1380528983733099,Acutalibacter,Ruminococcaceae,False
EU451487.1.1331,-0.003104056437389771,0.0127125386842259,0.06666666666666667,-0.5176051731257385,0.6107459577423365,0.7012268403708308,-0.6659338633232403,-0.4742095568797359,Pos↓,1.5413422652792115,0.2256906843846811,0.30419179199674407,Anaerotruncus,Ruminococcaceae,False
DQ806077.1.1402,-0.0032275132275132253,0.007321369822075087,0.0,-0.8431125626058865,0.40841965143658754,0.5431491477101991,0.6576987952135374,0.9578278872483588,Pos↓,0.7806184934325797,0.5147530661292207,0.6021639641511638,Colidextribacter,Oscillospiraceae,False
DQ455825.1.1446,-0.0038977072310405632,0.010450892560527555,0.0,-0.460821295560152,0.6495198817167944,0.7309435754830172,-0.2550758578467266,-0.08368452523222011,Pos↓,0.9415143533285572,0.43381582901075877,0.5199782858990365,ASF356,Lachnospiraceae,False
GQ175397.1.1443,-0.003985890652557316,0.00946013727771047,0.0,0.2528477485834783,0.8027337225262211,0.8158932917479624,1.1529864151538762,1.0653827903169775,Pos↑,2.6419485442186277,0.06879953665147773,0.13759907330295545,Incertae_Sedis,[Eubacterium]_coprostanoligenes_group,False
