FeatureID,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction
MH924252.1.1200,-3.5609676617124357,0.0020973400894508955,0.008669005703063703,-0.17067434195778636,2.75626556556096,Pos↓
EU460584.1.1224,-0.8421448499020423,0.41235603463682846,0.5431491477101991,-1.4125253454178734,-0.9134627832111517,Pos↓
MF326581.1.1216,4.317412292924734,9.193726993493695e-05,0.0009500184559943486,-1.3971087640211606,-2.40283715391001,Pos↑
DQ057398.1.1389,-1.4034212610474555,0.17788816620651413,0.3243843030824669,-0.07099907805425906,0.6607186674908424,Pos↓
DQ793581.1.1384,-2.5989942235246764,0.01530097859662532,0.04992950910477736,-0.07814858634811195,1.1329043033714825,Pos↓
eef61fa20a609e0b0edda48cdc9db43d,-0.9040065021650687,0.3777868787413556,0.5431491477101991,-1.2052712403731527,-0.8845936784377908,Pos↓
DQ455825.1.1446,-0.460821295560152,0.6495198817167944,0.7309435754830172,-0.2550758578467266,-0.08368452523222011,Pos↓
HQ802642.1.1374,1.7872081491292426,0.08593609309075495,0.19056675112003613,-0.42830101036378787,-1.569436108355661,Pos↑
HQ806146.1.1448,-1.3343389359832563,0.1948254022219074,0.3451192839359502,-0.35040466205961773,0.1844196654098053,Pos↓
DQ794058.1.1402,-4.442105998225131,7.061297973310783e-05,0.0008756009486905371,1.4849069628369729,3.033485010985394,Pos↓
DQ794427.1.1242,-0.8388792338035435,0.41016232447361034,0.5431491477101991,0.2172181972519632,0.526287620476127,Pos↓
FJ367509.1.1357,-0.15908489649908694,0.8756759959442881,0.8756759959442881,0.019312186912334883,0.10001075376302385,Pos↓
GQ175371.1.1438,-1.2031670385561928,0.24473369959767394,0.4079781326642614,-0.9537881388548447,-0.299498736098212,Pos↓
f980a909308141ab17d7502f6c96d0ed,1.411260951428978,0.1737417515763647,0.3243843030824669,-0.8455713656146047,-1.3294768244278252,Pos↑
GQ175397.1.1443,0.2528477485834783,0.8027337225262211,0.8158932917479624,1.1529864151538762,1.0653827903169775,Pos↑
EF025230.1.1453,0.8255045845310713,0.41726669514675113,0.5431491477101991,-1.7330093638795911,-1.9409996872095063,Pos↑
EU763235.1.1354,0.726672809254993,0.47282659126666976,0.5863049731706705,0.9392561590185484,0.6775139716494815,Pos↑
DQ456166.1.1450,0.4474526466192038,0.6602071004362736,0.7309435754830172,-0.7346835209190348,-0.9850986820844094,Pos↑
EU767235.1.1359,-2.2858113691735866,0.03773563397923016,0.09748372111301125,-1.8176359326640352,-0.8790703516346036,Pos↓
fbb2ccdf9eee6835b98ab9fad97f117a,0.8194766784646854,0.42050256596918634,0.5431491477101991,1.1938290809484113,0.9008476942939055,Pos↑
6a4f354262a6fbad12de693585b4e7f1,-3.494413931798541,0.0011182965158902187,0.005715946436474553,2.2178470144508244,3.2936334920261414,Pos↓
DQ808123.1.1242,0.3932988749897509,0.6981492705291212,0.7462974960828537,-1.2826224625796085,-1.4269335183918819,Pos↑
EU451487.1.1331,-0.5176051731257385,0.6107459577423365,0.7012268403708308,-0.6659338633232403,-0.4742095568797359,Pos↓
FJVJ01000015.3438.4940,2.0406894169968752,0.05495052951302077,0.1362773131922915,-1.5637562263107025,-2.0841344826491226,Pos↑
1978fc46fbfd9b795e153be14136a976,-1.1803940331543963,0.2500511135684183,0.4079781326642614,-0.47378113503008856,-0.06782458422398914,Pos↓
5d2356d8798c11abda797ab361d25f33,1.7991562147342148,0.08606240373162921,0.19056675112003613,-0.707412954506053,-1.5205096140137928,Pos↑
FJ981654.1.1204,0.9689171918027174,0.3433766039125421,0.5322337360644402,-0.5495362523420716,-0.9505468236892244,Pos↑
KU363872.1.1413,-1.1984351835984643,0.2458923010372652,0.4079781326642614,-1.3824173766805312,-0.8902415142670469,Pos↓
KP966092.1.1345,-1.685231593853862,0.10005936642348381,0.20233968316115714,1.343157498453111,1.7414203458689423,Pos↓
DQ057374.1.1386,1.7120366137161762,0.10116984158057857,0.20233968316115714,-0.20813328881613552,-0.9534938944493627,Pos↑
EU530381.1.1295,0.9103665306038086,0.3731464168997817,0.5431491477101991,-1.6094130359143224,-1.9355028438262651,Pos↑
6a90057b6e7a186c4d4e8974cd089f3f,-0.9019054562535087,0.37549733487977444,0.5431491477101991,0.21922633949579923,0.5925857654315906,Pos↓
EF025267.1.1453,-3.127137262481798,0.0033727777599183435,0.012300718889113958,4.440606176949031,5.313915282905518,Pos↓
