FeatureID,importance_mean,importance_sd,frac_folds_positive
f13a69ad40cf466ff5bfb0c0609aafc6,0.0016754850088183467,0.010254029530190915,0.06666666666666667
MH843493.1.1214,-0.006313932980599642,0.0139502270863631,0.0
MF765334.1.1250,1.3877787807814458e-18,0.00536717657266276,0.06666666666666667
LC190799.1.1211,0.0,0.0,0.0
HQ686141.1.1218,0.0,0.0,0.0
LN866619.1.1259,0.0,0.0,0.0
DQ793705.1.1389,-0.0028042328042328017,0.008128081752744192,0.06666666666666667
ad464b0f4f2cef292428ce4cca18f4dc,0.0003350970017636704,0.010419594271464544,0.06666666666666667
HQ807248.1.1298,-0.0023456790123456786,0.005989881220102815,0.0
869039e5ec5a8e2a7725853c1a499e6e,0.0029982363315696698,0.013326146080383376,0.06666666666666667
3891a19987c6a02777c313d88e00d0be,0.0,0.0,0.0
GQ461821.1.1415,0.007901234567901228,0.03159722128009161,0.06666666666666667
FAGH01000127.1.1295,-0.01038800705467372,0.03153389833466492,0.0
EU775649.1.1224,-8.818342151675533e-05,0.00415792079700287,0.13333333333333333
7199770f7f8dd84f0be92fc3156bb6f9,0.0,0.0,0.0
EU776524.1.1264,-0.004126984126984126,0.015441760643828958,0.0
FN667181.1.1433,0.0,0.0,0.0
cf42d6ef5b5f01ff0a0a2bf5b533682e,0.0017460317460317484,0.012424965859188475,0.13333333333333333
DQ326634.1.1352,-0.005149911816578481,0.01613044242878584,0.0
DQ799171.1.1319,0.0016049382716049397,0.008839023367737646,0.2
DQ793739.1.1403,-0.002698412698412698,0.007002141269877071,0.0
HQ452859.1.1430,-0.0007054673721340379,0.0033290847573302293,0.06666666666666667
GQ491803.1.1365,-0.005767195767195764,0.013188018640122956,0.0
MH924252.1.1200,0.002010582010582008,0.032683655054590824,0.3333333333333333
EU460584.1.1224,0.003315696649029987,0.010195254495660245,0.13333333333333333
MG561907.1.1276,0.0,0.0,0.0
MF326581.1.1216,0.012857142857142862,0.0381725406168211,0.13333333333333333
DQ057398.1.1389,-0.0022927689594356274,0.011844317122855918,0.06666666666666667
DQ793581.1.1384,0.002222222222222222,0.01097030118099905,0.2
eef61fa20a609e0b0edda48cdc9db43d,-0.0013051146384479692,0.015502274305187125,0.13333333333333333
DQ455825.1.1446,-0.0038977072310405632,0.010450892560527555,0.0
HQ802642.1.1374,-0.009417989417989419,0.030159936855094254,0.06666666666666667
