FeatureID,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,prevalence,Phylum,Family,Genus
30d3ed513d2487ebacec1d3806b5ccae,-2.8944781603682834,0.004310188931689392,0.016761845845458746,-1.167827594262482,-0.7928040944417175,Pos↓,0.16538461538461538,Actinomycetota,Corynebacteriaceae,Lawsonella
bf0a5e99cb2470e070686ca4a5cd102d,-2.741774117207609,0.006658470107221192,0.024531205658183338,1.0118066712631992,1.8922830507035462,Pos↓,0.5923076923076923,Bacillota,Streptococcaceae,Streptococcus
4c9ad755e11e8a1a091959f1e73c9d0c,2.445573250615508,0.015134210143231385,0.05296973550130985,-0.5778189932163957,-0.9972836599854839,Pos↑,0.19615384615384615,Actinomycetota,Actinomycetaceae,Arcanobacterium
7333e261c60fccfd1cc66224d4914029,-2.3985318682044134,0.017345016309725313,0.05781672103241771,-0.5889255958701521,-0.17019960090481934,Pos↓,0.3769230769230769,Pseudomonadota,Halomonadaceae,Halomonas
c51976b33e301cd0c39ff6780038cb3d,2.2546244701115588,0.02502264583034096,0.07961750946017578,-0.8093038597254627,-1.106342924000479,Pos↑,0.2,Pseudomonadota,Comamonadaceae,
03d08b31a3d27b70b8d57b623e6fda2f,-2.1323283241268793,0.034228661249241926,0.10104555482814098,-1.077446721698298,-0.769461792015326,Pos↓,0.17307692307692307,Bacillota,Anaerovoracaceae,Incertae_Sedis
e616d0c9166d972025919a91afbfac62,2.124002900800294,0.034644190226791195,0.10104555482814098,-0.10281668426896369,-0.5202427671086599,Pos↑,0.3576923076923077,Bacillota,Peptococcaceae,Peptococcus
4966214a7565ba69a46597265edc5fc6,1.881717973803227,0.06108858558552916,0.17104803963948165,-0.2654347559219506,-0.6090492954885595,Pos↑,0.3576923076923077,Bacteroidota,Sphingobacteriaceae,Sphingobacterium
acc07901cb94b7ff01d72de31d9c9e9b,1.8470407637102901,0.0659964846021147,0.17508132747732813,0.11345847029166636,-0.34786976612092013,Pos↑,0.36923076923076925,Campylobacterota,Helicobacteraceae,Helicobacter
a6eadb2d1940643ea760afffa030334d,1.8371143650908035,0.06753136916982656,0.17508132747732813,0.20808555341090115,-0.1626430578340794,Pos↑,0.5038461538461538,Pseudomonadota,Lysobacteraceae,Stenotrophomonas
af35970d0e82e7e56bc4c9a97b1aa275,1.8050404751188378,0.0726255175610776,0.181563793902694,5.9435658316287014,5.475270924557147,Pos↑,0.9807692307692307,Campylobacterota,Campylobacteraceae,Campylobacter
32018bce7db6443bd285f8b95338da67,-1.7787746623447886,0.07657414767191265,0.1848341495528926,-0.9968627320908093,-0.6946600949604086,Pos↓,0.16923076923076924,Bacteroidota,Prevotellaceae,Incertae_Sedis
172051db4ee13abc3ac82deb1739a056,-1.638858790560951,0.10277702328088073,0.23269101769574316,-1.0637509357341899,-0.8371661738973484,Pos↓,0.16153846153846155,Bacillota,Family_XI,Peptoniphilus
63d393fc0e99dd18542fb1d4b2af0cbf,1.6363481221444207,0.10304887926525767,0.23269101769574316,3.3707040434073257,2.9835517664963955,Pos↑,0.9346153846153846,Bacteroidota,Flavobacteriaceae,Flavobacterium
9265d5145416b3be7b9362ccc8e3dece,1.5898612742821614,0.11322843841573134,0.2476872090344123,1.6048986484044974,1.0937533892055649,Pos↑,0.6115384615384616,Bacillota,Lachnospiraceae,Caecibacterium
736f2237cf9ec2cfcaa5645263c92bca,1.533925237575365,0.1263497287367916,0.2680145761083458,-0.5492222981685866,-0.7918402029280395,Pos↑,0.2846153846153846,Bacteroidota,Sphingobacteriaceae,
8ad1796f811039f7bae012f206c4d408,-1.501867203907768,0.13454776408328104,0.2759351344969056,0.6790563679384034,1.1187313497030784,Pos↓,0.5461538461538461,Bacillota,,
5bd5c3944af33f3c41fe9dd472376f6a,1.4883554842190587,0.1379675672484528,0.2759351344969056,-0.8240644698532805,-1.0397779495380561,Pos↑,0.17692307692307693,Bacillota,Lachnospiraceae,Lachnospiraceae_UCG-010
e5eb02f3feb9b1b80a85843d37566c6a,1.4275443298386536,0.1546843889429493,0.30077520072240144,-0.8833239349081488,-1.0835542483876928,Pos↑,0.16923076923076924,Bacteroidota,Sphingobacteriaceae,Pedobacter
da6b37f3a4a6331d6ee5af6f86f9df0a,1.2474478342125488,0.2134942810073124,0.40390809920302345,0.9039142356309263,0.6323177670623852,Pos↑,0.6807692307692308,Pseudomonadota,Caulobacteraceae,Brevundimonas
98fcf59486d130abe9a9055704400056,1.1837161385345043,0.23764362746833217,0.43776457691534876,-0.943865443630632,-1.129160196387941,Pos↑,0.1076923076923077,Bacillota,Clostridiaceae,Clostridium
c465f577ff4ace3e12a8479197bd7198,1.151746246959583,0.2505009594811637,0.44961710676106303,2.8070847034385675,2.4335414095835843,Pos↑,0.7692307692307693,Bacteroidota,Porphyromonadaceae,Porphyromonas
81d6cbdbc40e34b1d58319f78d4860c3,-1.1289183779599676,0.2602481304347399,0.45465123337090163,-1.1534571402042033,-0.9908510664143485,Pos↓,0.10384615384615385,Actinomycetota,Atopobiaceae,Atopobium
a13d2ac851c652f379103eb69ff1bc14,-1.114549137126366,0.2662957224029567,0.45465123337090163,1.1331197788938925,1.4857348547112006,Pos↓,0.6461538461538462,Bacteroidota,Bacteroidaceae,Bacteroides
0daf4b3d162fbc5fc14a1ca8f4d2c33b,-1.074208153319343,0.28379384998248414,0.4729897499708069,1.7124869521897235,2.1032011243226405,Pos↓,0.6423076923076924,Fusobacteriota,Fusobacteriaceae,Fusobacterium
1458f1e7144a7686e3d054d148cb3855,-0.9726237053486134,0.33185441213260375,0.5371104771220688,-1.0028074450655249,-0.8665177042520255,Pos↓,0.18461538461538463,Pseudomonadota,Beijerinckiaceae,Methylobacterium
c3a9c5579756dc8a0872e12edba0ef72,-0.9612991009027826,0.33761229990530045,0.5371104771220688,-0.4753129403032689,-0.21434229290077558,Pos↓,0.24615384615384617,Fusobacteriota,Leptotrichiaceae,Incertae_Sedis
e56b0756bf4106b0b7f14fa46e828c2a,0.9079870933768563,0.36477378601560456,0.5674258893576071,1.1147800791520606,0.8089418174046763,Pos↑,0.49230769230769234,Bacillota,Veillonellaceae,
e9165b84ab328cc9b6c9240b83c34296,0.6911396574576851,0.49015572912256655,0.7458891530126013,0.8310243428445049,0.6283930539393221,Pos↑,0.5076923076923077,Bacillota,Family_XI,Parvimonas
13b2a473a55c51abc0b42dce9ecb578e,0.6474992344018184,0.5179733152972408,0.76792821735451,0.7945699123532758,0.6549205533351335,Pos↑,0.6807692307692308,Pseudomonadota,Pseudomonadaceae,Pseudomonas
1683506dd97567bf85f5261af480556e,-0.6280536000427018,0.5306902246247498,0.76792821735451,-1.0541981904876931,-0.9659351451587508,Pos↓,0.1423076923076923,Bacillota,Acidaminococcaceae,Phascolarctobacterium
cafeeea8a015957c63e8db16e70ed374,0.5920350056130297,0.5544010262311844,0.76792821735451,3.504535166097107,3.3570538228556788,Pos↑,0.9153846153846154,Bacillota,Lachnospiraceae,
