SampleID	HostGroup	HostSpecies	SampleContext	Infection	Observed_Genera	Chao1_Genus	Shannon_Genus	Simpson_Genus	InvSimpson_Genus	Pielou_Genus	SequencingDepth
SRR12148851_merged	Poultry	Turkey	Experimental	Neg	41	42	2.19431369229531	0.785313369429404	4.65795190572507	0.590890294541316	4900
SRR12148852_merged	Poultry	Turkey	Experimental	Neg	47	50	2.44723838595156	0.828758414149632	5.83970298472831	0.63562196547078	4783
SRR12148853_merged	Poultry	Turkey	Experimental	Neg	44	46.5	2.21017071713915	0.834193644650324	6.03113190619899	0.584053900821738	4685
SRR12148854_merged	Poultry	Turkey	Experimental	Neg	42	42	2.46578960431574	0.831039143858721	5.9185306161318	0.659713098304346	4986
SRR12148855_merged	Poultry	Turkey	Experimental	Neg	41	41.75	2.10437926046205	0.808577003751921	5.22403274214781	0.566672525175909	4707
SRR12148856_merged	Poultry	Turkey	Experimental	Neg	20	20	1.34410597989109	0.618250584235643	2.61951939860275	0.448673598691283	4957
SRR4409218	Swan	WhooperSwan	Wild	Pos	23	26	0.845105260381826	0.36302408	1.56991805906886	0.269528566210859	5000
SRR4409219	Swan	WhooperSwan	Wild	Pos	33	40.5	0.987589975309092	0.37077606239145	1.58925930853908	0.282450404567375	4982
SRR4409220	Swan	WhooperSwan	Wild	Neg	53	54	2.37144232549267	0.850740708773779	6.69975042615187	0.597296716999078	4942
SRR4409221	Swan	WhooperSwan	Wild	Neg	46	49	2.07595055030583	0.758600536822545	4.14251128332001	0.542215980898471	4970
SRR4409222	Swan	WhooperSwan	Wild	Neg	69	70	2.65965719498897	0.848087824989208	6.5827508554134	0.628150754380222	4821
SRR4409223	Swan	WhooperSwan	Wild	Neg	52	52	2.39743672279529	0.831825432534412	5.94620230080046	0.606754959589284	4862
SRR4409224	Swan	WhooperSwan	Wild	Neg	46	47.6666666666667	2.12921500540692	0.816584482890507	5.45210141300659	0.556128084327625	4943
SRR4409225	Swan	WhooperSwan	Wild	Pos	34	34	2.00636848432705	0.772170008847616	4.38923775988364	0.568962949284785	4972
SRR4409226	Swan	WhooperSwan	Wild	Pos	36	39.75	1.40910954047584	0.524684763148981	2.10386691288299	0.393219504257155	4980
SRR4409227	Swan	WhooperSwan	Wild	Pos	30	30.5	1.88495517130367	0.756017947500141	4.09866213417718	0.554203405384986	4887
SRR4409228	Swan	WhooperSwan	Wild	Pos	43	43.8571428571429	0.939188898817311	0.306992862608245	1.44298658129794	0.249704580965675	4970
SRR4409229	Swan	WhooperSwan	Wild	Pos	41	45.6666666666667	0.717948301753298	0.233726136618546	1.30501645402226	0.193330919356698	4979
SRR4409230	Swan	WhooperSwan	Wild	Pos	28	29.6666666666667	1.24683608621923	0.515403331259187	2.06357175875439	0.374177539947473	4995
SRR4409231	Swan	WhooperSwan	Wild	Pos	27	27.6	0.745310121808651	0.273558885657578	1.3765740680925	0.226136836290754	4991
SRR4409232	Swan	WhooperSwan	Wild	Pos	24	24.25	1.13911464898868	0.580620130866197	2.38447306034365	0.358431514945096	4901
SRR7146574	Duck	Duck	Wild	Pos	41	41	2.57197241839955	0.89132736	9.20194816284945	0.692587183499069	5000
SRR7146575	Duck	Duck	Wild	Pos	32	32	2.76435071647975	0.91115488	11.2555422289936	0.797623013988637	5000
SRR7146576	Duck	Duck	Wild	Neg	25	25.6	0.522440270509186	0.173004	1.20919569139391	0.162305195644065	5000
SRR7146577	Duck	Duck	Wild	Neg	12	12	0.254027675156705	0.0848123199999999	1.09267205170419	0.102228256815353	5000
SRR7146578	Duck	Duck	Wild	Pos	12	12	1.32552790562735	0.64328952	2.80339394570073	0.53343167065871	5000
SRR7146580	Duck	Duck	Wild	Neg	25	25	2.10975677675656	0.82987472	5.87802118532883	0.655432794411367	5000
SRR7146581	Duck	Duck	Wild	Neg	25	25	1.40973641859624	0.55004672	2.22245296222754	0.437959242697399	5000
SRR7146582	Duck	Duck	Wild	Neg	24	24.5	1.45007316623345	0.65107536	2.86594836065461	0.456277093983237	5000
SRR7146583	Duck	Duck	Wild	Neg	33	33	2.20635938825172	0.79881776	4.97061768474195	0.631018051431397	5000
SRR7146584	Duck	Duck	Wild	Neg	41	44	2.63461976886762	0.89700208	9.70893392798612	0.709457019156698	5000
SRR7146585	Duck	Duck	Wild	Neg	22	22	2.1455229584203	0.841352	6.30326256870556	0.694109832134224	5000
SRR7146587	Duck	Duck	Wild	Neg	28	28	1.06853664196668	0.38323712	1.62136865305513	0.320669586366564	5000
SRR7146588	Duck	Duck	Wild	Pos	43	43	2.79778700631001	0.89783048	9.78765487006301	0.743854865535145	5000
SRR7146589	Duck	Duck	Wild	Pos	25	26	1.55612295326571	0.62592056	2.67322898045399	0.483436776667031	5000
SRR7146590	Duck	Duck	Wild	Pos	25	25	2.12014115989687	0.807904893897933	5.20575469251497	0.65865888442083	4983
SRR7146591	Duck	Duck	Wild	Pos	20	20.5	0.793817271881302	0.32173256	1.47434469211732	0.264982715207576	5000
SRR7146592	Duck	Duck	Wild	Pos	26	28.5	0.962116540838121	0.42395032	1.7359613844417	0.295300194334443	5000
SRR7146593	Duck	Duck	Wild	Pos	15	20	0.190788398489014	0.06807768	1.07305080964259	0.0704523122988491	5000
SRR7146595	Duck	Duck	Wild	Pos	13	13	0.897106076880872	0.53512736	2.15112681185109	0.349755863316036	5000
SRR7146596	Duck	Duck	Wild	Pos	29	29	1.54040085115411	0.65878848	2.93073340548408	0.457459317187555	5000
SRR7146598	Duck	Duck	Wild	Pos	27	27.6	1.34165428651936	0.64550368	2.82090375437466	0.407075453387322	5000
SRR7146599	Duck	Duck	Wild	Pos	23	23	1.23207864449743	0.59160432	2.44860572472265	0.39294559633953	5000
