SampleID	HostGroup	HostSpecies	SampleContext	Infection	BaselineCoreSize	CoreTaxaPresent	CoreTaxaLost	CoreRetentionProportion	CoreAbundanceRetention	NonCoreTaxaPresent	TotalTaxaPresent	CoreMembershipProportion
SRR7146871	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.5292	18	26	0.307692307692308
SRR7146872	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.9048	7	15	0.533333333333333
SRR7146874	Duck	Duck	Wild	Pos	14	7	7	0.5	0.9888	5	12	0.583333333333333
SRR7146875	Duck	Duck	Wild	Pos	14	10	4	0.714285714285714	0.2174	20	30	0.333333333333333
SRR7146877	Duck	Duck	Wild	Pos	14	13	1	0.928571428571429	0.7696	21	34	0.382352941176471
SRR7146878	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.6896759911451	23	32	0.28125
SRR7146880	Duck	Duck	Wild	Pos	14	14	0	1	0.658	17	31	0.451612903225806
SRR7146881	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.2894	18	29	0.379310344827586
SRR7146882	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.8284	11	21	0.476190476190476
SRR7146883	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.9428	12	23	0.478260869565217
SRR7146884	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.6796	15	25	0.4
SRR7146886	Duck	Duck	Wild	Neg	14	13	1	0.928571428571429	0.8662	14	27	0.481481481481481
SRR7146887	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.7952	18	27	0.333333333333333
SRR7146888	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.756004803843074	19	24	0.208333333333333
